Education,Training,HourlyRate
16,1,95
15,0,68
12,1,74
18,1,128
16,0,103
16,1,101
15,1,97
20,1,120
11,0,58
14,1,82
17,1,110
13,0,66
19,1,125
21,1,135
10,0,52
22,1,145
18,0,108
17,0,102
12,0,61
14,0,72
15,1,92
16,1,99
13,1,80
20,0,115
19,0,112
18,1,127
11,1,69
10,1,64
22,0,130
21,0,125
17,1,109
15,0,70
14,1,85
13,0,65
12,1,76
16,0,100
18,1,129
19,1,132
20,1,138
11,0,55
10,0,50
22,1,148
21,1,140
17,0,98
16,1,104
15,1,93
14,0,71
13,1,79
12,0,60
18,0,107
19,0,114
20,1,136
21,0,126
22,0,133
11,1,67
10,1,63
15,0,69
16,1,102
17,1,111
18,1,131
19,1,134
20,0,118
21,1,142
22,1,150
13,0,64
12,1,73
14,1,84
15,1,96
16,0,101
17,0,99
18,1,126
19,0,113
20,1,139
21,0,124
22,1,147
10,0,51
11,0,57
12,0,62
13,1,81
14,0,74
15,1,94
16,1,106
17,1,112
18,0,109
19,1,133
20,0,117
21,1,141
22,0,132
10,1,65
11,1,68
12,1,75
13,0,63
14,1,86
15,0,71
16,1,107
17,0,97
18,1,130
19,0,111
20,1,137
21,0,123
22,1,149
